method,mode,basin_id,model,trial_idx,objective,budget_level,range_policy,rep,ngs,kstop,peps,pcento,stop_flag,notes,train_NSE,train_KGE,test_NSE,test_KGE,prompt_tokens,completion_tokens,cached_tokens,total_tokens,llm_decision_time_s,wall_time_s,active_seconds,boundary_hits,error
M1_B,B,03574500,gr4j,5,NSE,deep,boundary_expand,1000,100,50,0.1,0.1,False,,0.7566740135890301,0.7006974016303953,0.6862100798547668,0.5566483442416736,0,0,0,0,0,252.309,56.808,,
M1_B,B,05495000,gr4j,1,NSE,default,default,500,50,50,0.1,0.1,False,,0.6618522987048323,0.5179294633628939,0.587400550449708,0.5840946033221622,0,0,0,0,0,126.534,254.261,,
M1_B,B,05495000,gr4j,2,NSE,default,wide,1000,50,50,0.1,0.1,False,,0.6382143236682122,0.7264350601721707,0.5397781690508565,0.5597691829325027,0,0,0,0,0,140.605,32.872,,
M1_B,B,05495000,gr4j,3,NSE,default,wide,1500,50,50,0.1,0.1,False,,0.6549141349466022,0.581534736044225,0.5592448993896393,0.526294298063654,0,0,0,0,0,154.506,64.505,,
M1_B,B,05495000,gr4j,4,NSE,deep,wide,1000,100,50,0.1,0.1,False,,0.6601183012136618,0.5256883313220762,0.5767622783411452,0.5571508804681884,0,0,0,0,0,252.978,103.908,,
M1_B,B,05495000,gr4j,5,NSE,deep,default,1000,100,50,0.1,0.1,False,,0.6610995210410654,0.6178558671782209,0.5701318171740166,0.5678911387622145,0,0,0,0,0,250.173,21.941,,
M1_B,B,06885500,gr4j,1,NSE,default,default,500,50,50,0.1,0.1,False,,0.4494727562520998,0.09031140671861015,0.41003123205275716,0.023171204985356852,0,0,0,0,0,125.754,11.839,,
M1_B,B,06885500,gr4j,2,NSE,default,wide,1000,50,50,0.1,0.1,False,,0.5621980462425321,0.370748835632842,0.4684836219972429,0.29923846567898715,0,0,0,0,0,148.955,13.574,"{'param': 'x3', 'boundary': 'lower', 'value': 7.394678513, 'bound': 1.0, 'pct_from_bound': 1.28}",
M1_B,B,06885500,gr4j,3,NSE,deep,boundary_expand,1000,100,50,0.1,0.1,False,,0.5634798576177251,0.49290524262796676,0.4349713496005305,0.3797882936739504,0,0,0,0,0,244.342,23.531,"{'param': 'x4', 'boundary': 'lower', 'value': 0.894003247, 'bound': 0.5, 'pct_from_bound': 4.15}",
M1_B,B,06885500,gr4j,4,NSE,deep,boundary_expand,1000,100,50,0.1,0.1,False,,0.5388811061880945,-0.18104159365622619,0.46171860178301316,-0.304356382145232,0,0,0,0,0,249.041,33.704,"{'param': 'x3', 'boundary': 'lower', 'value': 21.561971644, 'bound': 1.0, 'pct_from_bound': 4.12};{'param': 'x4', 'boundary': 'lower', 'value': 0.9351517085000001, 'bound': 0.5, 'pct_from_bound': 4.58}",
M1_B,B,06885500,gr4j,5,NSE,deep,boundary_expand,1500,100,50,0.1,0.1,False,,0.5720787379741756,0.3345557683147853,0.47855438312656906,0.25719998575663094,0,0,0,0,0,267.546,60.627,"{'param': 'x4', 'boundary': 'lower', 'value': 0.786193656, 'bound': 0.5, 'pct_from_bound': 3.01}",
M1_B,B,07197000,gr4j,1,NSE,default,default,500,50,50,0.1,0.1,False,,0.21462627948062896,-0.14216309158241502,0.3229714311968298,-0.2816011591372938,0,0,0,0,0,124.155,29.698,,
M1_B,B,07197000,gr4j,2,NSE,default,wide,1000,50,50,0.1,0.1,False,,0.5025966784183755,0.6012293788513037,0.4428041977103869,0.3718016670625788,0,0,0,0,0,138.628,14.467,"{'param': 'x1', 'boundary': 'upper', 'value': 1973.6181175400002, 'bound': 2000.0, 'pct_from_bound': 1.32}",
M1_B,B,07197000,gr4j,3,NSE,default,boundary_expand,1500,50,50,0.1,0.1,False,,0.5782303121807111,0.5492188253654601,0.44371925231621867,0.31881682341917006,0,0,0,0,0,157.408,13.0,"{'param': 'x4', 'boundary': 'lower', 'value': 0.90975286, 'bound': 0.5, 'pct_from_bound': 4.31}",
M1_B,B,07197000,gr4j,4,NSE,deep,boundary_expand,1000,100,50,0.1,0.1,False,,0.5861809826752431,0.5837281013654735,0.4921756054242262,0.39725052202304767,0,0,0,0,0,262.616,10.996,"{'param': 'x2', 'boundary': 'lower', 'value': -9.31493468, 'bound': -10.0, 'pct_from_bound': 3.43};{'param': 'x4', 'boundary': 'lower', 'value': 0.94342428, 'bound': 0.5, 'pct_from_bound': 4.67}",
M1_B,B,07197000,gr4j,5,NSE,deep,boundary_expand,1000,100,50,0.1,0.1,False,,0.533936304575882,0.7233825228411417,0.5451013327656948,0.6201708508084869,0,0,0,0,0,247.48,11.988,"{'param': 'x2', 'boundary': 'lower', 'value': -9.74292694, 'bound': -10.0, 'pct_from_bound': 1.29};{'param': 'x3', 'boundary': 'lower', 'value': 21.585228537, 'bound': 1.0, 'pct_from_bound': 4.13}",
M2_A,A,01543000,gr4j,1,NSE,default,default,500,50,50,0.1,0.1,False,Trial 1 forced to default as baseline anchor (M2 v2 policy).,0.403258780146902,0.5562727652539896,0.4155538168709725,0.49653440626421497,0,0,0,0,0,129.299,0,,
M2_A,A,01543000,gr4j,2,KGE,default,climate_prior,500,50,50,0.1,0.1,False,Explore KGE with climate_prior given informative basin attributes; first trial used default NSE.,,,,,510,822,256,1332,9.46,0.162,0,,Calibration failed: m has more than 2 dimensions
M2_A,A,01543000,gr4j,3,LOGNSE,default,wide,500,50,50,0.1,0.1,False,Trial 1 gave moderate NSE (0.416) with default ranges; LOGNSE may improve performance on skewed flows (runoff_ratio 0.49,0.3378492516793983,0.6164776129210059,0.4539351348783275,0.6742036865398653,611,818,384,1429,9.487,128.186,0,,
M2_A,A,01543000,gr4j,4,LOGNSE,deep,wide,1000,100,50,0.1,0.1,False,Best test metrics from trial 3 (LOGNSE+wide) show improvement over baseline; deep budget may further refine parameters a,0.2567700964272267,0.4857142840374259,0.4291186090564859,0.5898237931704068,770,1884,512,2654,18.235,256.554,0,,
