task_id,basin_id,model,human_test_NSE,agent_test_NSE,delta_agent_human_NSE,agent_test_KGE,random_median_NSE,random_IQR_low,random_IQR_high,agent_random_percentile,agent_auc_best_NSE,human_auc_best_NSE,human_active_min,agent_tokens
01543000_gr4j,01543000,gr4j,,0.4539351348783275,,0.6742036865398653,,,,,0.438583,,0.0,7745
03574500_gr4j,03574500,gr4j,,0.5687037640552917,,0.4896712074744196,,,,,0.568704,,0.0,6305
05495000_gr4j,05495000,gr4j,,0.5912822526231412,,0.5394218406888744,,,,,0.58973,,0.0,6742
06885500_gr4j,06885500,gr4j,,0.4622795143773728,,0.3506857223613945,,,,,0.420481,,0.0,6688
07197000_gr4j,07197000,gr4j,,0.4310813232584012,,0.022978036837046023,,,,,0.409459,,0.0,7554
