method,basin_id,trial_idx,decision_time_s,decision_time_kind,prompt_tokens,completion_tokens,cached_tokens,total_tokens,wall_time_s,test_NSE,test_KGE,objective,budget_level,range_policy,stop_flag
M2_A,03574500,2,6.21,llm_decision_elapsed,511,584,256,1095,0.2,,,KGE,default,climate_prior,False
M2_A,03574500,3,11.38,llm_decision_elapsed,607,976,384,1583,252.8,0.45706279085441526,0.5804469971534713,LOGNSE,deep,wide,False
M2_A,03574500,4,10.5,llm_decision_elapsed,775,922,512,1697,0.2,,,KGE,default,default,False
M2_A,03574500,5,11.16,llm_decision_elapsed,894,1036,512,1930,0.2,,,KGE,deep,wide,False
M2_A,05495000,1,0,llm_decision_elapsed,0,0,0,0,131.9,0.587400550449708,0.5840946033221622,NSE,default,default,False
M2_A,05495000,2,7.28,llm_decision_elapsed,510,706,256,1216,121.7,0.5872687134594605,0.5837180815881509,NSE,default,climate_prior,False
M2_A,05495000,3,7.03,llm_decision_elapsed,642,820,384,1462,118.8,0.5912822526231412,0.5394218406888744,NSE,default,climate_prior,True
M2_A,05495000,4,12.59,llm_decision_elapsed,786,1149,384,1935,2.5,,,KGE,default,default,False
M2_A,05495000,5,12.17,llm_decision_elapsed,898,1231,512,2129,131.1,0.5407517529274859,0.5217553724603425,LOGNSE,default,climate_prior,False
M2_A,06885500,1,0,llm_decision_elapsed,0,0,0,0,122.8,0.41003123205275716,0.023171204985356852,NSE,default,default,False
M2_A,06885500,2,3.71,llm_decision_elapsed,509,441,256,950,0.2,,,KGE,deep,climate_prior,False
M2_A,06885500,3,12.75,llm_decision_elapsed,626,1596,384,2222,246.2,0.3771607017409402,0.43325774994886557,LOGNSE,deep,wide,False
M2_A,06885500,4,6.84,llm_decision_elapsed,821,763,512,1584,250.8,0.3608509097383886,0.38111670946860043,LOGNSE,deep,boundary_expand,False
M2_A,06885500,5,7.28,llm_decision_elapsed,1066,866,512,1932,126.3,0.4622795143773728,0.3506857223613945,NSE,default,default,True
M2_A,07197000,1,0,llm_decision_elapsed,0,0,0,0,128.6,0.3229714311968298,-0.2816011591372938,NSE,default,default,False
M2_A,07197000,2,5.9,llm_decision_elapsed,511,808,256,1319,261.1,0.4310813232584012,0.022978036837046023,NSE,deep,climate_prior,False
M2_A,07197000,3,8.6,llm_decision_elapsed,700,1116,384,1816,0.2,,,KGE,deep,boundary_expand,False
M2_A,07197000,4,9.08,llm_decision_elapsed,806,1134,384,1940,0.2,,,KGE,deep,boundary_expand,False
M2_A,07197000,5,12.99,llm_decision_elapsed,922,1557,512,2479,272.9,0.06513946366126633,0.10746094621729974,LOGNSE,deep,climate_prior,False
M2_B,01543000,1,0,llm_decision_elapsed,0,0,0,0,131.1,0.4155538168709725,0.49653440626421497,NSE,default,default,False
M2_B,01543000,2,10.54,llm_decision_elapsed,2058,896,0,2954,152.4,0.4521379450212326,0.5227141823940116,NSE,default,climate_prior,False
M2_B,01543000,3,14.93,llm_decision_elapsed,2278,1263,0,3541,265.1,0.4478097229584369,0.5274128381926869,NSE,default,climate_prior,False
M2_B,01543000,4,17.33,llm_decision_elapsed,2481,1370,2176,3851,209.2,0.4851280623909128,0.589755996763331,NSE,default,wide,False
