task_id,condition,D1,D2,D3,D4,D5,notes
T1,K0,,,,,,
T1,K2,,,,,,
T1,K4,,,,,,
T2,K0,,,,,,
T2,K2,,,,,,
T2,K4,,,,,,
T3,K0,,,,,,
T3,K2,,,,,,
T3,K4,,,,,,
T4,K0,,,,,,
T4,K2,,,,,,
T4,K4,,,,,,
