task_id,basin_id,model,A_test_NSE,B_test_NSE,C_test_NSE,D_test_NSE,A_test_KGE,B_test_KGE,C_test_KGE,D_test_KGE,delta_B_A_NSE,delta_C_A_NSE,delta_D_A_NSE,delta_C_B_NSE,delta_D_B_NSE,delta_D_C_NSE,B_iterations,C_iterations,D_rounds,B_valid_proposal_rate,C_valid_proposal_rate,B_tokens,C_tokens,D_tokens,B_wall_time_s,C_wall_time_s,D_wall_time_s
12025000_gr4j,12025000,gr4j,0.747569526644025,0.28862747779824016,0.4978561481999033,0.7761114074204438,0.8428365411575006,0.2889191380712569,0.5447877388246132,0.8246932444651284,-0.458942,-0.249713,0.028542,0.209229,0.487484,0.278255,30,15,2,1.0,1.0,48697,26081,4420,322.109,240.801,340.917
12025000_xaj,12025000,xaj,0.7758408797076196,0.6296398427895162,0.5176356743608093,0.7830322001800041,0.8022394502010424,0.5088458309422259,0.5815479394583181,0.7673848961730527,-0.146201,-0.258205,0.007191,-0.112004,0.153392,0.265397,30,15,15,1.0,1.0,78764,36526,48453,404.593,2415.408,4497.74
11532500_gr4j,11532500,gr4j,0.7414866561263087,0.5773065162104525,0.5353668858150895,0.7559471715247439,0.86280508414912,0.4905949124531599,0.4232413026489589,0.7807549401887195,-0.16418,-0.20612,0.014461,-0.04194,0.178641,0.22058,30,15,15,1.0,1.0,49541,26682,30651,307.659,258.738,2446.424
11532500_xaj,11532500,xaj,0.5768502140222083,0.5500071032960558,0.5602774414906999,0.5773470808357626,0.6068310002140715,0.5666074497182951,0.5846846009356009,0.5604217097470418,-0.026843,-0.016573,0.000497,0.01027,0.02734,0.01707,30,15,15,1.0,1.0,80117,35610,51276,417.123,2365.64,5438.81
03439000_gr4j,03439000,gr4j,-0.8719858442078614,-0.32002313731305176,-0.6408738154935498,-0.27176148253259846,-0.6357619069014704,-0.5383569294089121,-0.8867862241760591,-0.2632887337373697,0.551963,0.231112,0.600224,-0.320851,0.048262,0.369112,30,15,15,1.0,1.0,62454,29130,29991,438.943,281.201,3227.982
03439000_xaj,03439000,xaj,0.06396488232153885,-0.015097945429596082,-0.06249925056873873,0.116397683262078,-0.11004979296889128,-0.1312392386605088,-0.28507131970988087,-0.021944722749137613,-0.079063,-0.126464,0.052433,-0.047401,0.131496,0.178897,30,15,15,0.9,1.0,96418,43487,45388,632.221,2491.045,6165.722
