basin_id,model,seed0_best_NSE,seed0_iter_at_best,seed1_best_NSE,seed1_iter_at_best,seed2_best_NSE,seed2_iter_at_best,mean_best_NSE,stdev_best_NSE,range_NSE,mean_iter_at_best,mean_cum_wall_at_best_s,mean_cum_tokens_at_best
03439000,gr4j,-0.32,27,-0.32,30,-0.4044,29,-0.3482,0.0487,0.0844,28.7,495.8,61951
03439000,xaj,-0.0151,30,0.0691,14,0.0229,24,0.0256,0.0421,0.0841,22.7,468.7,68697
11532500,gr4j,0.5773,30,0.7288,30,0.6355,30,0.6472,0.0764,0.1514,30,358.3,52605
11532500,xaj,0.5632,29,0.533,28,0.3724,29,0.4895,0.1026,0.1908,28.7,456.2,78590
12025000,gr4j,0.293,21,0.4332,30,0.5098,30,0.412,0.1099,0.2168,27,265.5,40786
12025000,xaj,0.6296,24,0.4161,20,0.5071,15,0.5176,0.1072,0.2136,19.7,296.3,52771
