method,median_test_NSE,median_test_KGE,median_tokens,median_wall_time_s
A,0.659168,0.704535,,
B,0.419317,0.389757,70609.0,410.858
C,0.507746,0.484015,32370.0,1323.4205
D,0.666647,0.663903,38019.5,3862.861
