condition_id,condition_name,n_runs,task_success_rate,controlled_failure_rate,information_missing_rate,missing_tool_rate,logic_error_rate,hallucination_rate,fabricated_tool_rate,wrong_tool_route_rate,ask_user_rate,create_skill_rate,recovery_success_rate,mean_recovery_turns,mean_recovery_tokens,mean_llm_calls,mean_tool_calls,mean_prompt_tokens,mean_completion_tokens,mean_cached_tokens,mean_total_tokens,mean_wall_time_s,mean_tool_compute_time_s,mean_llm_decision_time_s
B0,basic_tools,20,0.0,0.25,0.25,0.15,0.05,0.75,0.05,0.0,0.2,0.0,0.0,,,8.75,12.2,69001.0,1946.55,59923.2,70947.55,21.09845,0.027,21.07145
B1,full_toolchain,20,0.55,0.1,0.25,0.45,0.35,0.05,0.0,0.35,0.2,0.05,0.0,13.0,135392.0,9.3,10.25,73854.7,5639.5,64640.0,79494.2,100.45865,72.5382,27.92045
B2,basic_plus_create_skill,20,0.0,0.45,0.25,0.35,0.25,0.3,0.0,0.25,0.25,0.05,0.05,12.0,92369.0,10.1,15.4,90608.75,1889.1,79897.6,92497.85,21.46065,1.44845,20.0122
B3,basic_plus_create_skill_with_policy,20,0.0,0.35,0.25,0.45,0.35,0.3,0.0,0.35,0.1,0.2,0.0,11.75,98182.75,10.15,14.15,87204.35,2348.05,75001.6,89552.4,28.03,9.04015,18.98985
B4,base_plus_create_skill_with_policy,10,0.6,0.1,0.0,0.9,0.4,0.1,0.0,0.4,0.0,0.1,0.0,12.0,89507.0,8.0,10.5,69660.4,3859.8,62387.2,73520.2,153.1771,126.9559,26.2212
