condition_id,condition_name,description,allowed_tools,observed_tool_schemas,allows_execution,allows_dynamic_generation
B0,basic_tools,Only basic observation and clarification tools.,"ask_user,read_file,inspect_dir","ask_user,inspect_dir,read_file",False,False
B1,full_toolchain,Full HydroAgent toolchain for executable workflows.,"ask_user,read_file,inspect_dir,validate_basin,calibrate_model,evaluate_model,generate_code,run_code,create_skill","ask_user,calibrate_model,create_skill,evaluate_model,generate_code,inspect_dir,read_file,run_code,validate_basin",True,True
B2,basic_plus_create_skill,Basic tools plus dynamic tool generation and code execution.,"ask_user,read_file,inspect_dir,create_skill,run_code","ask_user,create_skill,inspect_dir,read_file,run_code",True,True
B3,basic_plus_create_skill_with_policy,Same tool set as B2; system prompt explicitly tells the agent to invoke create_skill when a required tool is unavailable.,"ask_user,read_file,inspect_dir,create_skill,run_code","ask_user,create_skill,inspect_dir,read_file,run_code",True,True
B4,base_plus_create_skill_with_policy,Full HydroAgent base (same toolchain as B1) PLUS the explicit create_skill policy from B3. Tests create_skill as a gap-filler on top of working infrastructure (the canonical extension test) rather than as a replacement for stripped-out infrastructure (B2/B3 stress-test framing).,"ask_user,read_file,inspect_dir,validate_basin,calibrate_model,evaluate_model,generate_code,run_code,create_skill","ask_user,calibrate_model,create_skill,evaluate_model,generate_code,inspect_dir,read_file,run_code,validate_basin",True,True
