condition_id,condition_name,n_runs,task_success_rate,tool_route_success_rate,first_tool_accuracy,forbidden_tool_rate,hallucination_rate,mean_llm_calls,mean_tool_calls,mean_total_tokens,mean_prompt_tokens,mean_completion_tokens,mean_cached_tokens,mean_wall_time_s,mean_tool_compute_time_s,mean_llm_decision_time_s,mean_knowledge_input_tokens_est,tokens_per_success,success_gain_vs_K0,success_gain_vs_K1,extra_tokens_vs_K1,marginal_gain_per_10k_tokens
K0,plain_llm,20,0.25,0.5,0.5,0.0,0.05,1.0,0.0,1495.65,129.75,1365.9,51.2,17.92795,0.0,17.92795,0.0,5982.6,,,,
K1,tools_only,20,0.75,1.0,1.0,0.0,0.0,2.9,3.25,11640.05,9605.5,2034.55,8076.8,127.60155,105.7905,21.81105,0.0,15520.066667,0.5,,,
K2,full_knowledge,20,0.9,1.0,1.0,0.0,0.0,4.6,5.5,62115.75,58391.85,3723.9,54112.0,180.74345,145.34465,35.3988,3151.7,69017.5,,0.15,50475.7,0.029717
